school,count,circuit
St. Bonaventure University,1,Second
St. Francis College,1,Second
St. Joseph's University,1,Second
St. Peter's College,1,Second
Stanford University,1,Second
Trinity College,1,Second
Union College,1,Second
University of Massachusetts,1,Second
Wesleyan University,1,Second
Indiana University,21,Seventh
Northwestern University,19,Seventh
University of Notre Dame,15,Seventh
University of Chicago,8,Seventh
DePaul University,7,Seventh
University of Wisconsin,7,Seventh
Yale University,7,Seventh
Washington University in St. Louis,6,Seventh
Harvard University,5,Seventh
Marquette University,5,Seventh
University of Illinois,5,Seventh
Cornell University,3,Seventh
University of Iowa,2,Seventh
University of Michigan,2,Seventh
University of Texas,2,Seventh
Wabash College,2,Seventh
Boston University,1,Seventh
Brown University,1,Seventh
Bryn Mawr College,1,Seventh
Central YMCA College,1,Seventh
Chicago-Kent College of Law,1,Seventh
Elmhurst University,1,Seventh
Fordham University,1,Seventh
Haverford College,1,Seventh
Illinois Wesleyan University,1,Seventh
Lake Forest College,1,Seventh
Princeton University,1,Seventh
Rhodes College,1,Seventh
"St. Joseph’s College, Rensselaer, Indiana",1,Seventh
Swarthmore College,1,Seventh
Union College,1,Seventh
University of Virginia,1,Seventh
Wayne State University,1,Seventh
Wittenberg College,1,Seventh
University of Virginia,32,Sixth
Harvard University,31,Sixth
University of Michigan,28,Sixth
Yale University,14,Sixth
Vanderbilt University,9,Sixth
University of Cincinnati,6,Sixth
Case Western Reserve University,5,Sixth
Samford University,5,Sixth
Michigan State University,3,Sixth
University of Akron,3,Sixth
Wayne State University,3,Sixth
Miami University,2,Sixth
New York University,2,Sixth
University of Chicago,2,Sixth
University of Detroit Mercy,2,Sixth
University of Louisville,2,Sixth
University of Memphis,2,Sixth
University of Tennessee,2,Sixth
Western Michigan University,2,Sixth
Youngstown State University,2,Sixth
Barnard College,1,Sixth
Boston College,1,Sixth
Centre College,1,Sixth
Davidson College,1,Sixth
"Douglas University, Chicago, Illinois",1,Sixth
East Tennessee State University,1,Sixth
Fisk University,1,Sixth
Georgetown University,1,Sixth
Hamilton College,1,Sixth
Howard University,1,Sixth
Massachusetts Institute of Technology,1,Sixth
Middlebury College,1,Sixth
Northwestern University,1,Sixth
Ohio Northern University,1,Sixth
Ohio State University,1,Sixth
Ohio Wesleyan University,1,Sixth
Otterbein University,1,Sixth
