school1_alt,school2_alt,school3_alt,lastname,firstname,suffix,name,year1,school2,year2,school3,year3,school4,year4,school5,year5,circuit
Yale University,,,Smith, Jerry Edwin,,"Smith, Jerry Edwin",1969.0,Yale University,1972.0,,,,,,,Fifth
Tulane University,,,Duhe, John Malcolm,,"Duhe, John Malcolm",1955.0,Tulane University,1957.0,,,,,,,Fifth
,,,Barksdale, Rhesa Hawkins,,"Barksdale, Rhesa Hawkins",1966.0,University of Mississippi,1972.0,,,,,,,Fifth
Tulane University,,,Wiener, Jacques Loeb,,"Wiener, Jacques Loeb",1956.0,Tulane University,1961.0,,,,,,,Fifth
University of Notre Dame,,,Garza, Emilio,,"Garza, Emilio",1969.0,University of Notre Dame,1970.0,University of Texas,1976.0,,,,,Fifth
Rice University,,,DeMoss, Harold,,"DeMoss, Harold",1952.0,University of Texas,1955.0,University of Texas,,,,,,Fifth
Dillard University,,,Stewart, Carl,,"Stewart, Carl",1971.0,Loyola University New Orleans,1974.0,University of Texas,,,,,,Fifth
University of Houston,,,Benavides, Fortunato Pedro,,"Benavides, Fortunato Pedro",1968.0,University of Houston,1972.0,University of Texas,,,,,,Fifth
University of Texas,,,Parker, Robert Manley,,"Parker, Robert Manley",1961.0,University of Texas,1964.0,University of Texas,,,,,,Fifth
Louisiana Tech University,,,Dennis, James,,"Dennis, James",1959.0,Louisiana State University,1962.0,University of Virginia,1984.0,,,,,Fifth
University of Alabama,,,Clement, Edith Brown,,"Clement, Edith Brown",1969.0,Tulane University,1973.0,University of Virginia,,,,,,Fifth
San Antonio College,,,Prado, Edward Charles,,"Prado, Edward Charles",1967.0,University of Texas,1969.0,University of Texas,1972.0,,,,,Fifth
Jones County Junior College,,,Pickering, Charles Willis,,"Pickering, Charles Willis",1957.0,University of Mississippi,1959.0,University of Mississippi,1961.0,,,,,Fifth
Baylor University,,,Owen, Priscilla Richman,,"Owen, Priscilla Richman",1975.0,Baylor University,1977.0,University of Mississippi,,,,,,Fifth
Baylor University,,,Elrod, Jennifer Walker,,"Elrod, Jennifer Walker",1988.0,Harvard University,1992.0,University of Mississippi,,,,,,Fifth
Rice University,,,Southwick, Leslie,,"Southwick, Leslie",1972.0,University of Texas,1975.0,University of Mississippi,,,,,,Fifth
Florida Institute of Technology,,,Haynes, Catharina,,"Haynes, Catharina",1983.0,Emory University,1986.0,University of Mississippi,,,,,,Fifth
Millsaps College,,,Graves, James Earl,,"Graves, James Earl",1975.0,Syracuse University,1980.0,Syracuse University,1981.0,,,,,Fifth
Harvard University,,,Higginson, Stephen Andrew,,"Higginson, Stephen Andrew",1983.0,Yale University,1987.0,University of Cambridge,1992.0,,,,,Fifth
Dartmouth College,,,Costa, Gregg Jeffrey,,"Costa, Gregg Jeffrey",1994.0,University of Texas,1999.0,University of Cambridge,,,,,,Fifth
Baylor University,,,Willett, Don,,"Willett, Don",1988.0,Duke University,1992.0,Duke University,1992.0,Duke University,2016.0,,,Fifth
Stanford University,,,Ho, James,,"Ho, James",1995.0,University of Chicago,1999.0,Duke University,,,,,,Fifth
Louisiana State University,,,Duncan, Stuart Kyle,,"Duncan, Stuart Kyle",1994.0,Louisiana State University,1997.0,Columbia University,2004.0,,,,,Fifth
Louisiana State University,,,Engelhardt, Kurt Damian,,"Engelhardt, Kurt Damian",1982.0,Louisiana State University,1985.0,Columbia University,,,,,,Fifth
University of Virginia,,,Oldham, Andrew Stephen,,"Oldham, Andrew Stephen",2001.0,University of Cambridge,2002.0,Harvard University,2005.0,,2009.0,,,Fifth
