school1_alt,school2_alt,school3_alt,lastname,firstname,suffix,name,year1,school2,year2,school3,year3,school4,year4,school5,year5,circuit
"University of Oklahoma, A.B.",,,Holloway, William Judson, Jr.,"Holloway, William Judson, Jr.",1947,"Harvard Law School, LL.B.",1950,,,,,,,Tenth
"University of Denver, A.B.",,,McWilliams, Robert Hugh, Jr.,"McWilliams, Robert Hugh, Jr.",1938,"University of Denver College of Law (now Sturm College of Law), LL.B.",1941,,,,,,,Tenth
"University of Wyoming College of Law, LL.B.",,,Barrett, James Emmett,,"Barrett, James Emmett",1949,"University of Denver College of Law (now Sturm College of Law), LL.B.",,,,,,,,Tenth
"George Washington University Law School, LL.B.",,,Doyle, William Edward,,"Doyle, William Edward",1937,"University of Colorado, A.B.",1940,,,,,,,Tenth
"Brigham Young University, B.S.",,,McKay, Monroe G.,,"McKay, Monroe G.",1957,"University of Chicago Law School, J.D.",1960,,,,,,,Tenth
"University of Kansas, A.B.",,,Logan, James Kenneth,,"Logan, James Kenneth",1952,"Harvard Law School, LL.B.",1955,,,,,,,Tenth
"Smith College, B.A.",,,Seymour, Stephanie Kulp,,"Seymour, Stephanie Kulp",1962,"Harvard Law School, J.D.",1965,,,,,,,Tenth
"University of Denver, B.A.",,,Porfilio, John Carbone,,"Porfilio, John Carbone",1956,"University of Denver College of Law (now Sturm College of Law), LL.B.",1959,,,,,,,Tenth
"University of Utah College of Law (now S.J. Quinney College of Law), LL.B.",,,Anderson, Stephen Hale,,"Anderson, Stephen Hale",1960,"University of Denver College of Law (now Sturm College of Law), LL.B.",,,,,,,,Tenth
"University of Kansas, B.A.",,,Tacha, Deanell Reece,,"Tacha, Deanell Reece",1968,"University of Michigan Law School, J.D.",1971,,,,,,,Tenth
New Mexico Military Institute,,,Baldock, Bobby Ray,,"Baldock, Bobby Ray",1956,"University of Arizona College of Law (now James E. Rogers College of Law), J.D.",1960,,,,,,,Tenth
"University of Wyoming, B.S.",,,Brorby, Wade,,"Brorby, Wade",1956,"University of Wyoming College of Law, J.D.",1958,,,,,,,Tenth
"Northwestern University, B.A.",,,Ebel, David M.,,"Ebel, David M.",1962,"University of Michigan Law School, J.D.",1965,,,,,,,Tenth
"University of Notre Dame, B.B.A.",,,Kelly, Paul Joseph, Jr.,"Kelly, Paul Joseph, Jr.",1963,"Fordham University School of Law, J.D.",1967,,,,,,,Tenth
"University of Oklahoma, B.A.",,,Henry, Robert Harlan,,"Henry, Robert Harlan",1974,"University of Oklahoma College of Law, J.D.",1976,,,,,,,Tenth
"University of Kansas, B.A.",,,Briscoe, Mary Beck,,"Briscoe, Mary Beck",1969,"University of Kansas School of Law, J.D.",1973,"University of Virginia School of Law, LL.M.",1990,,,,,Tenth
"Adams State College, B.A.",,,Lucero, Carlos F.,,"Lucero, Carlos F.",1961,"George Washington University Law School, J.D.",1964,"University of Virginia School of Law, LL.M.",,,,,,Tenth
"Creighton University, B.A.",,,Murphy, Michael R.,,"Murphy, Michael R.",1969,"University of Wyoming College of Law, J.D.",1972,"University of Virginia School of Law, LL.M.",,,,,,Tenth
"Harvard College, A.B.",,,Hartz, Harris L.,,"Hartz, Harris L.",1967,"Harvard Law School, J.D.",1972,"University of Virginia School of Law, LL.M.",,,,,,Tenth
"University of Wyoming, B.S.",,,O'Brien, Terrence L.,,"O'Brien, Terrence L.",1965,"University of Wyoming College of Law, J.D.",1972,"University of Virginia School of Law, LL.M.",,,,,,Tenth
"Michigan State University, B.A.",,,McConnell, Michael W.,,"McConnell, Michael W.",1976,"University of Chicago Law School, J.D.",1979,"University of Virginia School of Law, LL.M.",,,,,,Tenth
"Colorado College, B.A.",,,Tymkovich, Timothy M.,,"Tymkovich, Timothy M.",1979,"University of Colorado Law School, J.D.",1982,"University of Virginia School of Law, LL.M.",,,,,,Tenth
"Columbia University, B.A.",,,Gorsuch, Neil M.,,"Gorsuch, Neil M.",1988,"Harvard Law School, J.D.",1991,"University of Oxford, D.Phil.",2004,,,,,Tenth
"Wake Forest University, B.A.",,,Holmes, Jerome A.,,"Holmes, Jerome A.",1983,"Georgetown University Law Center, J.D.",1988,"Harvard University, M.P.A.",2000,,,,,Tenth
"University of Oxford, M.A.Stanford University, A.B.",,,Matheson, Scott Milne, Jr.,"Matheson, Scott Milne, Jr.",1975,"Yale Law School, J.D.",1980,"Harvard University, M.P.A.",,,,,,Tenth
"University of Oklahoma, B.A.",,,Bacharach, Robert Edwin,,"Bacharach, Robert Edwin",1981,"Washington University School of Law, J.D.",1985,"Harvard University, M.P.A.",,,,,,Tenth
"University of Wyoming, B.S.",,,Phillips, Gregory Alan,,"Phillips, Gregory Alan",1983,"University of Wyoming College of Law, J.D.",1987,"Harvard University, M.P.A.",,,,,,Tenth
"University of Utah, B.A.",,,McHugh, Carolyn Baldwin,,"McHugh, Carolyn Baldwin",1978,"University of Utah College of Law (now S.J. Quinney College of Law), J.D.",1982,"Harvard University, M.P.A.",,,,,,Tenth
"Washburn University, B.B.A.",,,Moritz, Nancy Louise,,"Moritz, Nancy Louise",1982,"Washburn University School of Law, J.D.",1985,"Harvard University, M.P.A.",,,,,,Tenth
"Stanford University, A.B.",,,Eid, Allison Hartwell,,"Eid, Allison Hartwell",1987,"University of Chicago Law School, J.D.",1991,"Harvard University, M.P.A.",,,,,,Tenth
"Texas Tech University, B.B.A.",,,Carson, Joel McElroy III,,"Carson, Joel McElroy III",1994,"University of New Mexico School of Law, J.D.",1997,"Harvard University, M.P.A.",,,,,,Tenth
"Columbia University, B.A.",,,Rossman, Veronica Sophia,,"Rossman, Veronica Sophia",1993,"University of California, Hastings College of the Law, J.D.",1997,"Harvard University, M.P.A.",,,,,,Tenth
"St. Petersburg Junior College, A.A.",,,Roney, Paul Hitch,,"Roney, Paul Hitch",1940,"University of Pennsylvania, Wharton School, B.S.",1942,"Harvard Law School, LL.B.",1948,"University of Virginia School of Law, LL.M.",1984,,,Eleventh
"Mercer University School of Law, LL.B.",,,Henderson, Albert John,,"Henderson, Albert John",1947,"University of Pennsylvania, Wharton School, B.S.",,,,,,,,Eleventh
"University of Georgia School of Law, LL.B.",,,Morgan, Lewis Render,,"Morgan, Lewis Render",1935,"University of Pennsylvania, Wharton School, B.S.",,,,,,,,Eleventh
"Alabama Polytechnic Institute (now Auburn University), B.S.",,,Godbold, John Cooper,,"Godbold, John Cooper",1940,"Harvard Law School, J.D.",1948,,,,,,,Eleventh
"Goucher College, B.A.",,,Kravitch, Phyllis A.,,"Kravitch, Phyllis A.",1941,"University of Pennsylvania Law School (now Carey Law School), LL.B.",1943,,,,,,,Eleventh
"Cornell University, A.B.",,,Tuttle, Elbert Parr,,"Tuttle, Elbert Parr",1918,"Cornell University Department of Law, LL.B.",1923,,,,,,,Eleventh
"University of Alabama School of Law, LL.B.",,,Johnson, Frank Minis, Jr.,"Johnson, Frank Minis, Jr.",1943,"Cornell University Department of Law, LL.B.",,,,,,,,Eleventh
"University of Florida College of Law (now Fredric G. Levin College of Law), LL.B.",,,Simpson, John Milton Bryan,,"Simpson, John Milton Bryan",1926,"Cornell University Department of Law, LL.B.",,,,,,,,Eleventh
"University of South Carolina, B.Sc.",,,Hill, James Clinkscales,,"Hill, James Clinkscales",1948,"Emory University School of Law, J.D.",1948,,,,,,,Eleventh
"Washington and Lee University, B.S.",,,Clark, Thomas Alonzo,,"Clark, Thomas Alonzo",1942,"University of Georgia School of Law, LL.B.",1949,,,,,,,Eleventh
Read law,,,Rives, Richard Taylor,,"Rives, Richard Taylor",1914,"University of Georgia School of Law, LL.B.",,,,,,,,Eleventh
"Florida A&M University, B.A.",,,Hatchett, Joseph Woodrow,,"Hatchett, Joseph Woodrow",1954,"Howard University School of Law, J.D.",1959,,,,,,,Eleventh
"Rollins College, B.A.",,,Fay, Peter Thorp,,"Fay, Peter Thorp",1951,"University of Florida College of Law (now Fredric G. Levin College of Law), J.D.",1956,,,,,,,Eleventh
"University of Alabama, B.S.",,,Vance, Robert Smith,,"Vance, Robert Smith",1950,"University of Alabama School of Law, J.D.",1952,"George Washington University Law School, LL.M.",1955,,,,,Eleventh
"University of Denver College of Law (now Sturm College of Law), LL.B.",,,Jones, Warren Leroy,,"Jones, Warren Leroy",1924,"University of Alabama School of Law, J.D.",,,,,,,,Eleventh
"Stetson University College of Law, LL.B.",,,Dyer, David William,,"Dyer, David William",1933,"University of Alabama School of Law, J.D.",,,,,,,,Eleventh
"Duke University School of Law, LL.B.",,,Tjoflat, Gerald Bard,,"Tjoflat, Gerald Bard",1957,"University of Alabama School of Law, J.D.",,,,,,,,Eleventh
"Yale College, A.B.",,,Anderson, R[obert] Lanier III,,"Anderson, R[obert] Lanier III",1958,"Harvard Law School, LL.B.",1961,,,,,,,Eleventh
"Emory University, B.A.",,,Edmondson, James Larry,,"Edmondson, James Larry",1968,"University of Georgia School of Law, J.D.",1971,"University of Virginia School of Law, LL.M.",1990,,,,,Eleventh
"University of Alabama, A.B.",,,Cox, Emmett Ripley,,"Cox, Emmett Ripley",1957,"University of Alabama School of Law, LL.B.",1959,"University of Virginia School of Law, LL.M.",,,,,,Eleventh
"University of Virginia, B.A.",,,Birch, Stanley F., Jr.,"Birch, Stanley F., Jr.",1967,"Emory University School of Law, J.D.",1970,"Emory University School of Law, LL.M.",1976,,,,,Eleventh
"University of Alabama, B.S.",,,Dubina, Joel Fredrick,,"Dubina, Joel Fredrick",1970,"Samford University, Cumberland School of Law, J.D.",1973,"Emory University School of Law, LL.M.",,,,,,Eleventh
"Florida State University, B.A.",,,Black, Susan Harrell,,"Black, Susan Harrell",1964,"University of Florida College of Law (now Fredric G. Levin College of Law), J.D.",1967,"University of Virginia School of Law, LL.M.",1984,,,,,Eleventh
"University of Alabama, B.S.",,,Carnes, Edward Earl,,"Carnes, Edward Earl",1972,"Harvard Law School, J.D.",1975,"University of Virginia School of Law, LL.M.",,,,,,Eleventh
"St. Joseph's College, Jensen Beach, Florida, A.A.",,,Barkett, Rosemary,,"Barkett, Rosemary",1959,"Spring Hill College, B.S.",1967,"University of Florida College of Law (now Fredric G. Levin College of Law), J.D.",1970,,,,,Eleventh
"Randolph-Macon Woman's College (now Randolph College), B.A.",,,Hull, Frank M.,,"Hull, Frank M.",1970,"Emory University School of Law, J.D.",1973,"University of Florida College of Law (now Fredric G. Levin College of Law), J.D.",,,,,,Eleventh
"Queens College, City University of New York, B.A.",,,Marcus, Stanley,,"Marcus, Stanley",1967,"Harvard Law School, J.D.",1971,"University of Florida College of Law (now Fredric G. Levin College of Law), J.D.",,,,,,Eleventh
"University of Notre Dame, B.A.",,,Wilson, Charles R.,,"Wilson, Charles R.",1976,"Notre Dame Law School, J.D.",1979,"University of Florida College of Law (now Fredric G. Levin College of Law), J.D.",,,,,,Eleventh
"Northeast Louisiana University (now University of Louisiana at Monroe), B.A.",,,Pryor, William Holcombe, Jr.,"Pryor, William Holcombe, Jr.",1984,"Tulane University Law School, J.D.",1987,"University of Florida College of Law (now Fredric G. Levin College of Law), J.D.",,,,,,Eleventh
"Stetson University, B.A.",,,Martin, Beverly Baldwin,,"Martin, Beverly Baldwin",1976,"University of Georgia School of Law, J.D.",1981,"University of Florida College of Law (now Fredric G. Levin College of Law), J.D.",,,,,,Eleventh
"University of Miami, B.A.",,,Jordan, Adalberto Jose,,"Jordan, Adalberto Jose",1984,"University of Miami School of Law, J.D.",1987,"University of Florida College of Law (now Fredric G. Levin College of Law), J.D.",,,,,,Eleventh
"Cornell University, B.A.",,,Rosenbaum, Robin Stacie,,"Rosenbaum, Robin Stacie",1988,"University of Miami School of Law, J.D.",1991,"University of Florida College of Law (now Fredric G. Levin College of Law), J.D.",,,,,,Eleventh
"University of Georgia, B.A.",,,Carnes, Julie E.,,"Carnes, Julie E.",1972,"University of Georgia School of Law, J.D.",1975,"University of Florida College of Law (now Fredric G. Levin College of Law), J.D.",,,,,,Eleventh
"College of William and Mary, B.A.",,,Pryor, Jill Anne,,"Pryor, Jill Anne",1985,"Yale Law School, J.D.",1988,"University of Florida College of Law (now Fredric G. Levin College of Law), J.D.",,,,,,Eleventh
"Samford University, B.A.",,,Newsom, Kevin Christopher,,"Newsom, Kevin Christopher",1994,"Harvard Law School, J.D.",1997,"University of Florida College of Law (now Fredric G. Levin College of Law), J.D.",,,,,,Eleventh
"Davidson College, B.A.",,,Branch, Elizabeth Lee,,"Branch, Elizabeth Lee",1990,"Emory University School of Law, J.D.",1994,"University of Florida College of Law (now Fredric G. Levin College of Law), J.D.",,,,,,Eleventh
"Wake Forest University, B.A.",,,Grant, Britt Cagle,,"Grant, Britt Cagle",2000,"Stanford Law School, J.D.",2007,"University of Florida College of Law (now Fredric G. Levin College of Law), J.D.",,,,,,Eleventh
"University of Florida, B.A.",,,Luck, Robert Joshua,,"Luck, Robert Joshua",2000,"University of Florida Fredric G. Levin College of Law, J.D.",2004,"University of Florida College of Law (now Fredric G. Levin College of Law), J.D.",,,,,,Eleventh
"Florida International University, B.A.",,,Lagoa, Barbara,,"Lagoa, Barbara",1989,"Columbia Law School, J.D.",1992,"University of Florida College of Law (now Fredric G. Levin College of Law), J.D.",,,,,,Eleventh
"Samford University, B.A.",,,Brasher, Andrew Lynn,,"Brasher, Andrew Lynn",2002,"Harvard Law School, J.D.",2006,"University of Florida College of Law (now Fredric G. Levin College of Law), J.D.",,,,,,Eleventh
"Washington College (now Washington and Lee University) School of Law, LL.B.",,,Shepard, Seth,,"Shepard, Seth",1868,"Harvard Law School, J.D.",,,,,,,,District of Columbia
Georgetown College (now Georgetown University),,,Morris, Martin Ferdinand,,"Morris, Martin Ferdinand",1854,Read law,1863,,,,,,,District of Columbia
Read law,,,Alvey, Richard Henry,,"Alvey, Richard Henry",1849,Read law,,,,,,,,District of Columbia
"Hamilton College, A.B.",,,Duell, Charles Holland,,"Duell, Charles Holland",1871,Hamilton College Law School,1872,,,,,,,District of Columbia
Dickinson College,,,McComas, Louis Emory,,"McComas, Louis Emory",1866,Read law,1868,,,,,,,District of Columbia
Read law,,,Robb, Charles Henry,,"Robb, Charles Henry",1892,Read law,,,,,,,,District of Columbia
"Westminster College, New Wilmington, Pennsylvania, A.B.",,,Van Orsdel, Josiah Alexander,,"Van Orsdel, Josiah Alexander",1885,Read law,1890,,,,,,,District of Columbia
Read law,,,Smyth, Constantine Joseph,,"Smyth, Constantine Joseph",1885,"Creighton University, A.M.",1907,,,,,,,District of Columbia
"Heidelberg University, Germany","Wittenberg College, A.B.",,Martin, George Ewing,,"Martin, George Ewing",1877,Read law,1883,,,,,,,District of Columbia
Harvard College,"Georgetown College Law School (now Georgetown University Law Center), LL.B.",,Hitz, William,,"Hitz, William",1900,Read law,,,,,,,,District of Columbia
University of Virginia,Washington and Lee University,,Groner, Duncan Lawrence,,"Groner, Duncan Lawrence",,,,,,,,,,District of Columbia
"University of California, Berkeley","Cornell University, A.B.",,Stephens, Harold Montelle,,"Stephens, Harold Montelle",1909,"Harvard Law School, LL.B.",1913,"Harvard Law School, S.J.D.",1932,,,,,District of Columbia
"Stanford University, A.B.",,,Miller, Justin,,"Miller, Justin",1911,"University of Montana School of Law, LL.B.",1913,"Stanford Law School, J.D.",1914,,,,,District of Columbia
"Centre College, B.A.",,,Vinson, Frederick Moore,,"Vinson, Frederick Moore",1909,"College of Law of Central University, LL.B.",1911,"Stanford Law School, J.D.",,,,,,District of Columbia
"Cornell University, A.B.",,,Edgerton, Henry White,,"Edgerton, Henry White",1910,"Harvard Law School, LL.B.",1914,"Stanford Law School, J.D.",,,,,,District of Columbia
"University of Wisconsin, B.A.",,,Rutledge, Wiley Blount,,"Rutledge, Wiley Blount",1914,"University of Colorado Law School, LL.B.",1922,"Stanford Law School, J.D.",,,,,,District of Columbia
"Princeton University, B.A.",,,Arnold, Thurman Wesley,,"Arnold, Thurman Wesley",1911,"Harvard Law School, LL.B.",1914,"Stanford Law School, J.D.",,,,,,District of Columbia
"University of Missouri, B.A.",,,Clark, Bennett Champ,,"Clark, Bennett Champ",1913,"George Washington University Law School, LL.B.",1914,"Stanford Law School, J.D.",,,,,,District of Columbia
"Randolph-Macon College, B.A.",,,Prettyman, Elijah Barrett,,"Prettyman, Elijah Barrett",1910,"Randolph-Macon College, A.M.",1911,"Georgetown College Law School (now Georgetown University Law Center), LL.B.",1915,,,,,District of Columbia
University of Michigan,Read law,,Miller, Wilbur Kingsbury,,"Miller, Wilbur Kingsbury",1916,"Randolph-Macon College, A.M.",,,,,,,,District of Columbia
"George Washington University Law School, LL.B.",,,Proctor, James McPherson,,"Proctor, James McPherson",1904,"Randolph-Macon College, A.M.",,,,,,,,District of Columbia
"Yale College, Ph.B.",,,Washington, George Thomas,,"Washington, George Thomas",1928,"University of Oxford, Litt.B., law",1931,"Yale Law School, LL.B.",1932,,,,,District of Columbia
"Georgetown College Law School (now Georgetown University Law Center), LL.B.",,,Fahy, Charles,,"Fahy, Charles",1914,"University of Oxford, Litt.B., law",,,,,,,,District of Columbia
"Northwestern University, B.S.L.",,,Bazelon, David L.,,"Bazelon, David L.",1931,Read law,1932,,,,,,,District of Columbia
Yale Law School,"Yale University, A.B.",,Danaher, John Anthony,,"Danaher, John Anthony",1920,Read law,,,,,,,,District of Columbia
"Georgetown College Law School (now Georgetown University Law Center), LL.B.",,,Bastian, Walter Maximillian,,"Bastian, Walter Maximillian",1913,Read law,,,,,,,,District of Columbia
"St. Paul College of Law (now Mitchell Hamline School of Law), LL.B.",,,Burger, Warren Earl,,"Burger, Warren Earl",1931,Read law,,,,,,,,District of Columbia
"Loyola University New Orleans, Ph.B.",,,Wright, James Skelly,,"Wright, James Skelly",1931,"Loyola University New Orleans School of Law, J.D.",1934,,,,,,,District of Columbia
"Dartmouth College, A.B.",,,McGowan, Carl E.,,"McGowan, Carl E.",1932,"Columbia Law School, LL.B.",1936,,,,,,,District of Columbia
"Georgetown College Law School (now Georgetown University Law Center), LL.B.",,,Tamm, Edward Allen,,"Tamm, Edward Allen",1930,"Suffolk University Law School, J.S.D.",1971,,,,,,,District of Columbia
"Columbia University, A.B.",,,Leventhal, Harold,,"Leventhal, Harold",1934,"Columbia Law School, LL.B.",1936,,,,,,,District of Columbia
"Howard University School of Law, LL.B.",,,Robinson, Spottswood William III,,"Robinson, Spottswood William III",1939,"Columbia Law School, LL.B.",,,,,,,,District of Columbia
"University of Minnesota Law School, LL.B.",,,MacKinnon, George Edward,,"MacKinnon, George Edward",1929,"Columbia Law School, LL.B.",,,,,,,,District of Columbia
"Yale University, A.B.",,,Robb, Roger,,"Robb, Roger",1928,"Yale Law School, LL.B.",1931,,,,,,,District of Columbia
"Harvard University, A.B.",,,Wilkey, Malcolm Richard,,"Wilkey, Malcolm Richard",1940,"Harvard Law School, LL.B.",1948,,,,,,,District of Columbia
"Connecticut College for Women (now Connecticut College), B.A.",,,Wald, Patricia McGowan,,"Wald, Patricia McGowan",1948,"Yale Law School, LL.B.",1951,,,,,,,District of Columbia
"University of Chicago Law School, J.D.",,,Mikva, Abner Joseph,,"Mikva, Abner Joseph",1951,"Yale Law School, LL.B.",,,,,,,,District of Columbia
"Cornell University, B.S.",,,Edwards, Harry Thomas,,"Edwards, Harry Thomas",1962,"University of Michigan Law School, J.D.",1965,,,,,,,District of Columbia
"Cornell University, A.B.",,,Ginsburg, Ruth Bader,,"Ginsburg, Ruth Bader",1954,"Harvard Law SchoolColumbia Law School, LL.B.",1959,,,,,,,District of Columbia
"University of Chicago, B.A.",,,Bork, Robert Heron,,"Bork, Robert Heron",1948,"University of Chicago Law School, J.D.",1953,,,,,,,District of Columbia
"Georgetown College (now Georgetown University), B.A.",,,Scalia, Antonin,,"Scalia, Antonin",1957,"Harvard Law School, LL.B.",1960,,,,,,,District of Columbia
"George Washington University, A.B.",,,Starr, Kenneth Winston,,"Starr, Kenneth Winston",1968,"Brown University, M.A.",1969,"Duke University School of Law, J.D.",1973,,,,,District of Columbia
"Dartmouth College, A.B.",,,Silberman, Laurence Hirsch,,"Silberman, Laurence Hirsch",1957,"Harvard Law School, LL.B.",1961,"Duke University School of Law, J.D.",,,,,,District of Columbia
"Yale University, B.A.",,,Buckley, James Lane,,"Buckley, James Lane",1943,"Yale Law School, LL.B.",1949,"Duke University School of Law, J.D.",,,,,,District of Columbia
"Yale University, B.A.",,,Williams, Stephen Fain,,"Williams, Stephen Fain",1958,"Harvard Law School, J.D.",1961,"Duke University School of Law, J.D.",,,,,,District of Columbia
"Cornell University, B.S.",,,Ginsburg, Douglas Howard,,"Ginsburg, Douglas Howard",1970,"University of Chicago Law School, J.D.",1973,"Duke University School of Law, J.D.",,,,,,District of Columbia
"University of North Carolina, B.A.",,,Sentelle, David Bryan,,"Sentelle, David Bryan",1965,"University of North Carolina School of Law, J.D.",1968,"Duke University School of Law, J.D.",,,,,,District of Columbia
"College of the Holy Cross, B.A.",,,Thomas, Clarence,,"Thomas, Clarence",1971,"Yale Law School, J.D.",1974,"Duke University School of Law, J.D.",,,,,,District of Columbia
"Duke University, B.A.",,,Henderson, Karen LeCraft,,"Henderson, Karen LeCraft",1966,"University of North Carolina School of Law, J.D.",1969,"Duke University School of Law, J.D.",,,,,,District of Columbia
"Drexel University, B.S.",,,Randolph, Arthur Raymond,,"Randolph, Arthur Raymond",1966,"University of Pennsylvania Law School (now Carey Law School), J.D.",1969,"Duke University School of Law, J.D.",,,,,,District of Columbia
"Radcliffe College, A.B.",,,Rogers, Judith Ann Wilson,,"Rogers, Judith Ann Wilson",1961,"Harvard Law School, LL.B.",1964,"University of Virginia School of Law, LL.M.",1988,,,,,District of Columbia
"University of Michigan, B.A.",,,Tatel, David S.,,"Tatel, David S.",1963,"University of Chicago Law School, J.D.",1966,"University of Virginia School of Law, LL.M.",,,,,,District of Columbia
"Harvard College, A.B.",,,Garland, Merrick B.,,"Garland, Merrick B.",1974,"Harvard Law School, J.D.",1977,"University of Virginia School of Law, LL.M.",,,,,,District of Columbia
"Harvard College, A.B.",,,Roberts, John Glover, Jr.,"Roberts, John Glover, Jr.",1976,"Harvard Law School, J.D.",1979,"University of Virginia School of Law, LL.M.",,,,,,District of Columbia
"California State University, Sacramento, B.A.",,,Brown, Janice Rogers,,"Brown, Janice Rogers",1974,"University of California, Los Angeles, School of Law, J.D.",1977,"University of Virginia School of Law, LL.M.",2004,,,,,District of Columbia
"Brigham Young University, B.A.",,,Griffith, Thomas Beall,,"Griffith, Thomas Beall",1978,"University of Virginia School of Law, J.D.",1985,"University of Virginia School of Law, LL.M.",,,,,,District of Columbia
"Yale College, B.A.",,,Kavanaugh, Brett M.,,"Kavanaugh, Brett M.",1987,"Yale Law School, J.D.",1990,"University of Virginia School of Law, LL.M.",,,,,,District of Columbia
"Stanford University, B.A.",,,Srinivasan, Srikanth,,"Srinivasan, Srikanth",1989,"Stanford Law School, J.D.",1995,"Stanford Graduate School of Business, M.B.A.",1995,,,,,District of Columbia
"University of Illinois, B.A.",,,Millett, Patricia Ann,,"Millett, Patricia Ann",1985,"Harvard Law School, J.D.",1988,"Stanford Graduate School of Business, M.B.A.",,,,,,District of Columbia
"Yale College, B.A.",,,Pillard, Cornelia Thayer Livingston,,"Pillard, Cornelia Thayer Livingston",1983,"Harvard Law School, J.D.",1987,"Stanford Graduate School of Business, M.B.A.",,,,,,District of Columbia
"Rose-Hulman Institute of Technology, B.S.",,,Wilkins, Robert Leon,,"Wilkins, Robert Leon",1986,"Harvard Law School, J.D.",1989,"Stanford Graduate School of Business, M.B.A.",,,,,,District of Columbia
"Princeton University, A.B.",,,Katsas, Gregory George,,"Katsas, Gregory George",1986,"Harvard Law School, J.D.",1989,"Stanford Graduate School of Business, M.B.A.",,,,,,District of Columbia
"Yale University, B.A.",,,Rao, Neomi Jehangir,,"Rao, Neomi Jehangir",1995,"University of Chicago Law School, J.D.",1999,"Temple Bar Scholar, American Inns of Court",2002,,,,,District of Columbia
"Duke University, B.A.",,,Walker, Justin Reed,,"Walker, Justin Reed",2004,"Harvard Law School, J.D.",2009,"Temple Bar Scholar, American Inns of Court",,,,,,District of Columbia
"Harvard University, B.A.",,,Jackson, Ketanji Brown,,"Jackson, Ketanji Brown",1992,"Harvard Law School, J.D.",1996,"Temple Bar Scholar, American Inns of Court",,,,,,District of Columbia
University of Chicago,Indiana Law School (now Indiana University Mc,Kinney School of Law),Laramore, Don Nelson,,"Laramore, Don Nelson",,,,,,,,,,Federal
"Harvard University, A.B.",,,Davis, Oscar Hirsh,,"Davis, Oscar Hirsh",1934,"Columbia Law School, LL.B.",1937,,,,,,,Federal
"Harvard University, A.B.",,,Nichols, Philip, Jr.,"Nichols, Philip, Jr.",1929,"Harvard Law School, J.D.",1932,,,,,,,Federal
"University of Virginia, B.A.",,,Smith, Edward Samuel,,"Smith, Edward Samuel",1941,"University of Virginia School of Law, J.D.",1947,,,,,,,Federal
"Creighton University, A.B.",,,Miller, Jack Richard,,"Miller, Jack Richard",1938,"Catholic University of America, A.M.",1939,"Columbia Law School, J.D.",1946,University of Iowa College of Law,1946,,,Federal
"Southwest Missouri State University (now Missouri State University), A.B.",,,Bennett, Marion Tinsley,,"Bennett, Marion Tinsley",1935,"Washington University School of Law, J.D.",1938,"Columbia Law School, J.D.",,,,,,Federal
"Harvard College, B.S.",,,Rich, Giles Sutherland,,"Rich, Giles Sutherland",1926,"Columbia Law School, LL.B.",1929,"Columbia Law School, J.D.",,,,,,Federal
"Columbia University, A.B.",,,Friedman, Daniel Mortimer,,"Friedman, Daniel Mortimer",1937,"Columbia Law School, LL.B.",1940,"Columbia Law School, J.D.",,,,,,Federal
"University of Texas, B.A.",,,Skelton, Byron George,,"Skelton, Byron George",1927,"University of Texas, M.A.",1928,"University of Texas School of Law, LL.B.",1931,,,,,Federal
"University of Michigan, B.A.",,,Nies, Helen Wilson,,"Nies, Helen Wilson",1946,"University of Michigan Law School, J.D.",1948,"University of Texas School of Law, LL.B.",,,,,,Federal
"University of Texas School of Law, LL.B.",,,Cowen, Arnold Wilson,,"Cowen, Arnold Wilson",1928,"University of Michigan Law School, J.D.",,,,,,,,Federal
"University of Virginia School of Law, LL.B.",,,Almond, James Lindsay, Jr.,"Almond, James Lindsay, Jr.",1923,"University of Michigan Law School, J.D.",,,,,,,,Federal
South Texas College of Law,Baylor University School of Law,"North Texas State College (now University of North Texas), B.A.",Baldwin, Phillip Benjamin,,"Baldwin, Phillip Benjamin",1949,"University of Michigan Law School, J.D.",,,,,,,,Federal
"Loyola University Chicago School of Law, LL.B.",,,Markey, Howard Thomas,,"Markey, Howard Thomas",1949,"John Marshall Law School (now UIC John Marshall Law School), LL.M.",1950,,,,,,,Federal
"University of Michigan, B.S.",,,Kashiwa, Shiro,,"Kashiwa, Shiro",1935,"University of Michigan Law School, J.D.",1936,,,,,,,Federal
"Vassar College, B.A.",,,Newman, Pauline,,"Newman, Pauline",1947,"Columbia University, M.A.",1948,"Yale University, Ph.D.",1952,"New York University School of Law, LL.B.",1958,,,Federal
"University of South Carolina, B.S.",,,Bissell, Jean Galloway,,"Bissell, Jean Galloway",1956,"University of South Carolina School of Law, LL.B.",1958,"Yale University, Ph.D.",,,,,,Federal
"Yale University, B.A.",,,Archer, Glenn Leroy, Jr.,"Archer, Glenn Leroy, Jr.",1951,"George Washington University Law School, J.D.",1954,"Yale University, Ph.D.",,,,,,Federal
Judge Advocate General's Legal Center and School,"U.S. Military Academy, B.S.",,Mayer, Haldane Robert,,"Mayer, Haldane Robert",1963,"William and Mary Law School, J.D.",1971,"Yale University, Ph.D.",,,,,,Federal
"Williams College, A.B.",,,Michel, Paul Redmond,,"Michel, Paul Redmond",1963,"University of Virginia School of Law, J.D.",1966,"Yale University, Ph.D.",,,,,,Federal
