school1_alt,school2_alt,school3_alt,lastname,firstname,suffix,name,year1,school2,year2,school3,year3,school4,year4,school5,year5,circuit
"University of Wisconsin, B.A.",,,Evans, Evan Alfred,,"Evans, Evan Alfred",1897,"University of Wisconsin Law School, LL.B.",1899,,,,,,,Seventh
University of Illinois,Read law,,Page, George True,,"Page, George True",1882,"University of Wisconsin Law School, LL.B.",,,,,,,,Seventh
"Wabash College, A.B.",,,Anderson, Albert Barnes,,"Anderson, Albert Barnes",1879,Read law,1881,,,,,,,Seventh
Indiana Law School (now Indiana University Mc,Kinney School of Law)Read law,,Sparks, William Morris,,"Sparks, William Morris",1896,De###Paul University,1896,,,,,,,Seventh
"Illinois Wesleyan University Law School, LL.B.",,,FitzHenry, Louis,,"FitzHenry, Louis",1897,De###Paul University,,,,,,,,Seventh
DePaul University,,,Major, James Earl,,"Major, James Earl",1910,De###Paul University,,,,,,,,Seventh
"Indiana University, A.B.",,,Treanor, Walter Emanuel,,"Treanor, Walter Emanuel",1912,"Indiana University School of Law -- Bloomington (now Maurer School of Law), LL.B.",1922,,,,,,,Seventh
"Lake Forest University, LL.B.",,,Kerner, Otto, Sr.,"Kerner, Otto, Sr.",1905,"Indiana University School of Law -- Bloomington (now Maurer School of Law), LL.B.",,,,,,,,Seventh
"Indiana University School of Law -- Bloomington (now Maurer School of Law), LL.B.",,,Minton, Sherman,,"Minton, Sherman",1915,"Yale Law School, LL.M.",1916,,,,,,,Seventh
"University of Wisconsin, B.A.",,,Duffy, Francis Ryan,,"Duffy, Francis Ryan",1910,"University of Wisconsin Law School, LL.B.",1912,,,,,,,Seventh
"University of Chicago Law School, LL.B.",,,Finnegan, Philip J.,,"Finnegan, Philip J.",1913,"University of Wisconsin Law School, LL.B.",,,,,,,,Seventh
"University of Illinois, A.B.University of Illinois College of Law, LL.B.",,,Lindley, Walter C.,,"Lindley, Walter C.",1904,"University of Illinois College of Law, J.D.",1910,,,,,,,Seventh
DePaul University,,,Swaim, Hardress Nathan,,"Swaim, Hardress Nathan",1913,"University of Chicago Law School, J.D.",1916,,,,,,,Seventh
"University of Chicago Law School, LL.B.",,,Schnackenberg, Elmer Jacob,,"Schnackenberg, Elmer Jacob",1912,"University of Chicago Law School, J.D.",,,,,,,,Seventh
"U.S. Military Academy, B.S.",,,Hastings, John Simpson,,"Hastings, John Simpson",1920,"Indiana University School of Law -- Bloomington (now Maurer School of Law), LL.B.",1924,,,,,,,Seventh
Read law,,,Parkinson, William Lynn,,"Parkinson, William Lynn",1923,"Indiana University School of Law -- Bloomington (now Maurer School of Law), LL.B.",,,,,,,,Seventh
DePaul University,,,Knoch, Winfred George,,"Knoch, Winfred George",1917,"Indiana University School of Law -- Bloomington (now Maurer School of Law), LL.B.",,,,,,,,Seventh
"Northwestern University School of Law (now Pritzker School of Law), LL.B.",,,Castle, Latham,,"Castle, Latham",1924,"Indiana University School of Law -- Bloomington (now Maurer School of Law), LL.B.",,,,,,,,Seventh
"Notre Dame Law School, LL.B.",,,Kiley, Roger Joseph,,"Kiley, Roger Joseph",1923,"Indiana University School of Law -- Bloomington (now Maurer School of Law), LL.B.",,,,,,,,Seventh
"Notre Dame Law School, LL.B.",,,Swygert, Luther Merritt,,"Swygert, Luther Merritt",1927,"Indiana University School of Law -- Bloomington (now Maurer School of Law), LL.B.",,,,,,,,Seventh
"Cornell University, A.B.",,,Fairchild, Thomas Edward,,"Fairchild, Thomas Edward",1934,"University of Wisconsin Law School, LL.B.",1938,,,,,,,Seventh
"Yale University, B.A.",,,Cummings, Walter Joseph,,"Cummings, Walter Joseph",1937,"Harvard Law School, LL.B.",1940,,,,,,,Seventh
"Brown University, A.B.",,,Kerner, Otto, Jr.,"Kerner, Otto, Jr.",1930,"Northwestern University School of Law (now Pritzker School of Law), J.D.",1934,,,,,,,Seventh
"Indiana University, A.B.",,,Pell, Wilbur Frank, Jr.,"Pell, Wilbur Frank, Jr.",1937,"Harvard Law School, J.D.",1940,,,,,,,Seventh
"University of Chicago, B.A.",,,Stevens, John Paul,,"Stevens, John Paul",1941,"Northwestern University School of Law (now Pritzker School of Law), J.D.",1947,,,,,,,Seventh
"Central YMCA College, A.A.",,,Sprecher, Robert Arthur,,"Sprecher, Robert Arthur",1936,"Northwestern University, B.S.",1938,"Northwestern University School of Law (now Pritzker School of Law), J.D.",1941,,,,,Seventh
"University of Iowa, A.B.",,,Tone, Philip Willis,,"Tone, Philip Willis",1943,"University of Iowa College of Law, J.D.",1948,"Northwestern University School of Law (now Pritzker School of Law), J.D.",,,,,,Seventh
"Elmhurst College, A.B.",,,Bauer, William Joseph,,"Bauer, William Joseph",1949,De###Paul University,1952,"Northwestern University School of Law (now Pritzker School of Law), J.D.",,,,,,Seventh
"University of Illinois, A.B.",,,Wood, Harlington, Jr.,"Wood, Harlington, Jr.",1942,"University of Illinois College of Law, J.D.",1948,"Northwestern University School of Law (now Pritzker School of Law), J.D.",,,,,,Seventh
"U.S. Military Academy, B.S.",,,Cudahy, Richard Dickson,,"Cudahy, Richard Dickson",1948,"Yale Law School, J.D.",1955,"Northwestern University School of Law (now Pritzker School of Law), J.D.",,,,,,Seventh
"Yale College, A.B.",,,Posner, Richard Allen,,"Posner, Richard Allen",1959,"Harvard Law School, LL.B.",1962,"Northwestern University School of Law (now Pritzker School of Law), J.D.",,,,,,Seventh
